12/11/2024,,,,,,,,,
POD Units In,11448,Overdue,688,HNews Outstanding > 1 Day,19,,,,
,,Despatched Previous Working Day,976,Despatched Previous working day,627,,,,
,,,,,,,,,
Jobs in Open Status,50,Jobs in Pro-forma Status,3,Jobs in WIT Return Status,0,Jobs in File Error Status,1,,
Jobs Waiting Prepress Proofs,14,Jobs on Proof,7,Proofs Out > 2 days,6,,,,
,,,,,,,,,
Jobs Waiting Paper Approval,47,% of WIP,35%,,,,,,
,,,,,,,,,
Proofs Approved Waiting Imposition,42,Inkjet Hours,23,IX Hours,7,Titan Hours,0,Indigo Hours,1
WIP to Start/Impose,39,,40,,11,,2,,16
,,Total Hours Live,63,,18,,2,,17
Number of Wi's Live,135,,,,,,,,
